"Source","Your finding about AI features","Your finding about Human performance degradation types","Your finding about Causal links between them","Excerpt","Justification","Validation (y/n)"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","the decay of skills is influenced by task-related, method-related, and person-related variables, which are already relevant in an early phase of skill acquisition but might also influence later phases of skill transfer or retention.","Severity Justification: It identifies variables that influence skill decay, suggesting a risk to performance, but it is more descriptive than indicative of high severity, so a moderate score is given. | Relevance Justification: This is relevant to skill degradation in human performance, aligning with the research focus, though it lacks direct mention of AI or novel system characteristics.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","skills for cognitively complex tasks, such as monitoring, observing changes, making predictions based on system elements, and adjusting deviant processes, take time to acquire and might decay faster, depending on their characteristics [25,26].","Severity Justification: The excerpt explicitly mentions skill decay for complex tasks, which can degrade human performance, but it does not specify severe or immediate impacts, so a moderate severity is assigned. | Relevance Justification: This directly addresses skill degradation, a key aspect of human performance issues, and is relevant to the research focus on human-AI interaction, though it does not specifically mention AI-related degradations.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","a re-examination of the skill decay literature with a focus on highly automated environments in high-risk industries seems warranted.","Severity Justification: The text directly addresses skill decay in high-risk, highly automated environments, indicating a recognized and significant concern that warrants updated research, suggesting moderate to high severity due to the critical nature of these industries. | Relevance Justification: This is a direct mention of skill decay (a form of human performance degradation) in the context of highly automated environments, which aligns perfectly with the research focus on novel AI/autonomous system characteristics vs. conventional automation in high-risk industries.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","One way to attenuate skill decay is through refresher interventions. The objective of refresher interventions is the re-establishment of a specific skill level that was acquired during the initial training but has not been practiced for a long period of time [29]. High-risk industries that have to deal with highly automated environments counter skill decay with periodic refresher interventions/recurrent trainings, which are declared mandatory in some industries (including aviation—see, e.g., [30]; nuclear power plants—see, e.g., [31]; maritime; see, e.g., [32]) but not in others.","Severity Justification: Skill decay is explicitly mentioned as a degradation requiring mandatory interventions in high-risk industries, indicating significant impact on performance and safety. | Relevance Justification: Directly addresses skill degradation in automated environments, aligning with the research focus on human performance issues in high-risk industries, though not specifically novel AI-related.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","we can extract valuable information from the existing literature about skill decay, but the transferability to complex cognitive skills in high-risk and highly automated environments is restricted.","Severity Justification: Skill decay is directly mentioned as a concern, but the severity is moderate as it focuses on transferability limitations rather than explicit degradation incidents. | Relevance Justification: Highly relevant to human performance degradation, specifically skill decay in high-risk automated settings, aligning with the research focus on novel AI-related issues.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","Thus, we extend the literature on skill decay by focusing on complex cognitive tasks, refresher interventions, and the retention of skills over a longer period of time (temporal transfer) and for novel situations (adaptive transfer), which to our knowledge have not been previously reviewed.","Severity Justification: Skill decay is a central theme, but severity is lower as it is framed as a research gap rather than an active degradation problem. | Relevance Justification: Directly relevant to human performance degradation through skill decay in complex cognitive tasks, closely tied to high-risk automated environments and AI-related challenges.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","Skill decay is deﬁned as the inability to retrieve formerly trained and acquired knowledge and skills after periods of non-use with a consequence of decreased performance.","Severity Justification: The text explicitly links skill decay to decreased performance, indicating a direct negative impact on human capability in high-risk domains. | Relevance Justification: Skill decay is a core human performance degradation issue relevant to high-risk industries where infrequent but critical tasks require retained skills.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","to identify the inﬂuencing factors that could be detrimental to complex cognitive skill retention and to identify the refresher interventions that could mitigate decay.","Severity Justification: The text explicitly identifies factors detrimental to skill retention, suggesting a moderate severity as it addresses skill decay in high-risk environments, but does not specify the extent or impact. | Relevance Justification: This directly relates to skill degradation, a key aspect of human performance degradation, and is mentioned in the context of high-risk, highly automated environments, aligning with the research focus on novel AI-related issues.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","Identify refresher interventions that are deemed to be successful for retaining complex cognitive skills for infrequent situations (temporal transfer) and discuss whether they can promote handling of novel situations (adaptive transfer) in highly automated environments (connection 2, Figure 1).","Severity Justification: The focus on retaining complex cognitive skills implies that degradation is a significant concern in automated settings, warranting interventions to mitigate performance decline. | Relevance Justification: This excerpt verbatim mentions skill retention in automated environments, directly relevant to skill degradation as a human performance issue in the context of novel AI systems.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 8","","The ﬁndings can be used by industry and training providers as resources to design training and refresher interventions based on a systematic approach that can help to mitigate complex cognitive skill decay in companies in high-risk industries.","Severity Justification: Mitigating complex cognitive skill decay is presented as a primary objective, highlighting its severe impact on human performance in high-risk automated contexts. | Relevance Justification: This verbatim excerpt directly addresses skill decay mitigation, making it highly relevant to the research focus on human performance degradations in automated systems.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 8","","Determine whether well-researched factors from the literature on skill decay (e.g., task, method, and person-related) are also relevant for attenuating complex cognitive skill decay for situations that are infrequent (temporal transfer) and/or novel (adaptive transfer) in companies in high-risk industries (connection 1, Figure 1);","Severity Justification: Complex cognitive skill decay is highlighted as a critical issue requiring attenuation in automated high-risk settings, suggesting high severity due to its impact on handling non-routine events. | Relevance Justification: This verbatim excerpt directly relates to skill degradation, a priority category, and addresses novel AI-related contexts through adaptive transfer in automated environments, aligning with the research focus.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","How can skill decay in non-routine situations be attenuated within a high-risk, highly automated environment?","Severity Justification: Skill decay is directly identified as a problem requiring attenuation in high-risk automated settings, indicating significant impact on human performance and safety. | Relevance Justification: This directly addresses skill degradation, a priority search category, and is verbatim from the chunk, making it highly relevant to the research focus on human performance in automated systems.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: performance_metrics | Severity: 7","","Tasks that require a considerable number of action steps that are performed in a specific required order and are accomplished in a timely manner, decay more rapidly [16,25,27,34,47,52,53,61–64].","Severity Justification: The degradation is explicitly stated as 'decay more rapidly' with multiple citations, suggesting a significant and documented effect on performance in complex tasks. | Relevance Justification: This directly addresses human performance degradation in task execution, relevant to the research focus on AI/autonomous systems in high-risk industries where complex tasks are common, though it does not specify AI-related aspects.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","The task-characteristics that proved to be more prone to decay were closed-loop, procedural, discrete, and controlled processing tasks [16,25,27,34,47,52,61–64]. Task characteristics that were less prone to skill decay included open-looped, continuous, and automatic processing tasks [ 16,25,27,34,47,52–54,61–65].","Severity Justification: The text explicitly discusses task characteristics being 'more prone to decay' and 'less prone to skill decay,' indicating a moderate severity as it directly links task types to skill retention issues without specifying extreme consequences. | Relevance Justification: This is highly relevant to human performance degradation as it directly addresses skill decay and retention in relation to task characteristics, aligning with the research focus on cognitive aspects in high-risk industries, though it does not specifically mention AI or automation.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","Individuals with higher cognitive abilities acquired more knowledge during the acquisition phase, but the decay of knowledge and skills seemed to be equal for both high- and low-ability individuals [ 25,75]. This indicates that different cognitive strategies are necessary for recalling important knowledge and skills after periods of non-use, and for adapting these skills to novel situations.","Severity Justification: The excerpt explicitly mentions decay of knowledge and skills, which directly indicates performance degradation, but it is framed in a general cognitive context without specifying severe impacts or novel AI-related issues. | Relevance Justification: The text addresses skill degradation and knowledge decay, which aligns with the research focus on human performance degradations, but it does not explicitly link to novel AI characteristics or high-risk industries, reducing direct relevance.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","The demographic factor of age did not influence skill decay directly, but could potentially influence decay indirectly through stress and work experience [ 53,63]. It was stated that there are benefits of higher age in terms of the acquisition of experience through tenure, but the information processing ability under stress declined with age, which could hamper skill retention [63].","Severity Justification: The text explicitly mentions that age-related decline in information processing ability under stress could hamper skill retention, indicating a moderate impact on human performance. | Relevance Justification: This directly addresses skill degradation, a key focus area, by discussing factors (age, stress) that affect skill decay and retention, though it is not specifically tied to novel AI systems.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","Skill decay for a complex cognitive task also depends on person-related factors. A considerable number of studies have emerged in the last few decades that have concentrated on person-related factors regarding complex cognitive skill decay, focusing on cognitive factors (cognitive ability, general mental ability (GMA), retentivity, memory), experience, age, personality factors, and motivation.","Severity Justification: The text directly mentions 'skill decay' as dependent on person-related factors, indicating a degradation in human performance, though it is presented as a factor rather than an absolute outcome. | Relevance Justification: The text directly addresses 'skill decay' as a form of human performance degradation, which is a priority search category (skill/knowledge: skill degradation, knowledge loss, skill atrophy, reduced competence).","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","Tasks that are not simple to proceduralize, that require considerable numbers of discrete cognitive processes, and that are not well organized are prone to skill decay, whereas tasks that are more meaningful, highly organized, and consistent across situations might reduce the mental effort [70], and thus might decrease the amount of skill decay (Table 4).","Severity Justification: The text explicitly states that tasks with certain characteristics are 'prone to skill decay,' indicating a direct and significant degradation in human performance (skill loss). | Relevance Justification: The text directly addresses 'skill decay' as a form of human performance degradation, which is a priority search category (skill/knowledge: skill degradation, knowledge loss, skill atrophy, reduced competence).","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 4","","It was argued that when individuals who were open to experience were confronted with a novel situation, they were likely to try out different approaches that are not necessarily promising.","Severity Justification: The excerpt suggests a potential negative influence on skill transfer or adaptation due to trying unpromising approaches, but it is not explicitly stated as a severe degradation. | Relevance Justification: This relates to skill/knowledge issues (skill transfer) in human performance when dealing with novel situations, which could be relevant to AI/autonomous system interactions, though not directly mentioned.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 4","","Further, individuals who were highly deliberate, orderly, and dutiful, which are characteristics of the personality trait of conscientiousness, were less able to adapt their skills to different situations [ 75].","Severity Justification: The degradation is moderate as it describes a specific limitation in skill adaptation for a personality trait, but it does not imply complete loss or severe atrophy. | Relevance Justification: Moderate relevance to skill degradation as it directly mentions reduced ability to adapt skills, which aligns with skill/knowledge issues, though it is not explicitly linked to AI or automation contexts.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","skill deterioration could not be mitigated [ 88].","Severity Justification: The degradation is directly stated as a failure to mitigate skill deterioration, implying a moderate impact on performance. | Relevance Justification: This directly addresses skill degradation, which is a key focus in human performance issues, though it is not explicitly linked to novel AI characteristics in this chunk.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: cognitive_overload | Severity: 6","","When individuals were inexperienced in handling complex tasks, it was suggested that a behavior-based approach (e.g., overlearning) first be provided and then a cognitive-based approach to minimize cognitive overload [57].","Severity Justification: Cognitive overload is explicitly mentioned as a risk for inexperienced individuals handling complex tasks, requiring specific training approaches to mitigate it, indicating a moderate severity as it is a recognized issue with a proposed solution. | Relevance Justification: This directly addresses cognitive overload, which is a human performance degradation related to cognitive load, as specified in the priority search. It is relevant to the research focus on novel AI/autonomous systems in high-risk industries, where complex tasks and training methods are critical.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","Whereas knowledge was retained, there was an overall moderate skill decay when cognitive-based refresher interventions were conducted [ 66]. This suggests that some parts of skill decay can be retarded by cognitive-based refresher interventions, but that skills still decline signiﬁcantly [48,53].","Severity Justification: The text explicitly mentions 'moderate skill decay' and that 'skills still decline signiﬁcantly', indicating a notable but not extreme level of degradation. | Relevance Justification: This directly addresses skill degradation, which is a key aspect of human performance degradation in the context of training and refresher interventions, aligning with the research focus on human performance issues.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","both cognitive-based and behavioral-based approaches have positive effects on parts of skill retention, although skill decay cannot be attenuated completely.","Severity Justification: Skill decay is directly stated as a persistent issue that cannot be fully mitigated, suggesting a moderate but ongoing degradation. | Relevance Justification: Skill decay is a key human performance degradation related to skill/knowledge loss, which is a priority search category, and it is explicitly mentioned in the chunk.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","decayed the most, despite the practice refresher intervention. It remained unclear why this skill area decayed more than other more complex skills in spite of the practice refresher intervention. Similar results have been found in other studies that showed that some skill areas remain almost intact (e.g., declarative knowledge) and others decline rapidly [ 67,97]. Thus, practice has many positive effects on the retention of some skill areas by increasing the retrieval strength, but other skill areas might still decay [62].","Severity Justification: The text explicitly mentions skill decay occurring despite practice refresher interventions, indicating a persistent degradation issue, though it is context-specific to certain skills. | Relevance Justification: This directly addresses skill degradation, which is a key aspect of human performance degradations in human-AI interaction, as per the priority search list.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","the concept of team skill decay emerged as a key concept when considering non-routine situations in high-risk and highly automated environments.","Severity Justification: The text explicitly identifies 'team skill decay' as a 'key concept' in high-risk, automated contexts, indicating a recognized and significant issue, though the severity is not quantified. | Relevance Justification: Directly mentions 'skill decay' in the context of 'highly automated environments', which aligns with the research focus on human performance degradations related to automation/AI systems.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","team skill decay cannot be solely based on individual skill decay and that the execution of coordinative and communicative processes, and interdependence, play additional roles.","Severity Justification: The excerpt directly mentions 'team skill decay,' indicating a performance degradation related to skill loss, but it does not specify severity levels or impacts, so a moderate score is assigned. | Relevance Justification: The excerpt is relevant to skill degradation as it discusses team skill decay, which aligns with the research focus on human performance degradations, though it is not explicitly linked to novel AI-related degradations vs traditional automation.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","Consequently, when team members were less able to coordinate and exchange information, despite the task being highly interdependent, team skill decay was more likely to occur [ 98].","Severity Justification: The excerpt directly mentions 'team skill decay' as a consequence of reduced coordination and information exchange, indicating a moderate impact on performance. | Relevance Justification: This excerpt explicitly discusses skill decay in a team context, which aligns with the research focus on human performance degradations, though it is not specifically tied to novel AI-related degradations vs. traditional automation.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","This means that team skill decay was not only caused by a loss of individual skills, but also by a loss of team interaction skills (team coordination and team situational awareness) [ 99].","Severity Justification: The excerpt identifies multiple causes of team skill decay, including loss of team coordination and situational awareness, suggesting a significant degradation in performance. | Relevance Justification: This excerpt directly addresses skill decay and its components, such as situational awareness, which is relevant to human performance degradations, though it lacks explicit mention of AI or automation contexts.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","Conversely, operators who lack the essential knowledge elements to understand system dynamics can be overwhelmed when training cognitive-based methods.","Severity Justification: Being overwhelmed during training directly indicates a performance issue, but the context is training rather than operational performance, so severity is moderate. | Relevance Justification: This relates to skill/knowledge issues as operators lack essential knowledge, which is a form of skill degradation or competence gap relevant to human performance with systems.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","It was demonstrated that the level of skill acquisition has a significant influence on the retention of complex cognitive skills that are not applied for long periods (temporal transfer) and on effectiveness in novel situations (adaptive transfer).","Severity Justification: The text identifies a significant influence on skill retention when skills are not applied for long periods, which implies degradation, but it does not specify extreme or catastrophic outcomes, so a moderate-high severity is appropriate. | Relevance Justification: This directly addresses skill degradation in complex cognitive tasks relevant to high-risk and highly automated environments, matching the research focus on human performance issues, though it does not explicitly mention AI or automation.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","The level of skill acquisition and thus influence on skill retention are affected by person-related factors, method-related factors, and task characteristics.","Severity Justification: The text implies that skill retention can be negatively affected by various factors, suggesting degradation, but it does not specify the extent or impact, so a moderate severity is assigned. | Relevance Justification: This is relevant as it relates to skill retention in complex cognitive tasks, which ties to human performance in automated environments, though it lacks explicit mention of degradation or automation.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 6","","Additionally, the research revealed that any refresher intervention is better than no refresher intervention to attenuate skill decay.","Severity Justification: The text confirms the existence of skill decay, which is a form of performance degradation, but it suggests it can be attenuated with interventions, indicating it is manageable rather than severe. | Relevance Justification: This is highly relevant as it directly states 'skill decay' in the context of complex cognitive skills in high-risk and highly automated environments, aligning closely with the research focus on human performance degradations.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","Thus, for measuring skill decay, it remains unclear when skill acquisition should end and the non-use period should begin. Additionally, several studies have investigated the influences of individual differences on skill decay, and valuable insights could be gained with respect to cognitive ability. However, it was still not possible to draw conclusions about the processes of cognitive structures or learning preferences leading to a greater or lesser decay after periods of non-use.","Severity Justification: The text explicitly mentions 'skill decay' and its measurement challenges, indicating a moderate severity as it highlights a recognized issue but does not specify severe consequences or direct links to novel AI-related degradations. | Relevance Justification: The text is relevant to skill degradation, a priority search category, but it does not explicitly connect to novel AI-related degradations vs. traditional automation, focusing more on general skill decay and cognitive factors.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 5","","Further, attitudes and team skill decay were not often considered in relation to complex cognitive skill acquisition, transfer, and retention in high-risk industries, which indicates a promising research area.","Severity Justification: The text explicitly mentions 'skill decay' as a factor not often considered, implying it is a recognized issue but not extensively studied, suggesting moderate severity due to its potential impact on performance in high-risk contexts. | Relevance Justification: This directly relates to human performance degradation through skill decay in high-risk industries, aligning with the research focus on novel AI/autonomous system characteristics, though it does not specify AI-related aspects; it is highly relevant as it addresses skill degradation in the context of complex cognitive tasks.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","Category: skill_degradation | Severity: 7","","Likewise, individuals may not need to apply formerly acquired skill components for months or years and can become unable to act when confronted with technological failures, which can consequently lead to the escalation of a situation.","Severity Justification: The excerpt directly links skill non-use over time to an inability to act during failures, which can escalate situations in high-risk contexts, indicating a moderate to high severity impact on performance. | Relevance Justification: This excerpt explicitly mentions skill components not being applied for long periods and the resulting inability to act during technological failures, which aligns with the research focus on human performance degradations in high-risk industries, though it does not specifically mention AI-related aspects.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: interconnectedness of system elements | Evidence Type: direct | Causal Strength: 7 | Performance Effect: opaqueness for the operator","The peculiarity of non-routine situations in highly automated and high-risk industries is that they are infrequent but can develop dynamically and are characterized by complexities resulting from the interconnectedness of system elements, which can result in opaqueness for the operator [ 13,14].","Causal Strength Justification: Direct causal language is used: 'complexities resulting from the interconnectedness... which can result in opaqueness'. The relationship is explicitly stated, not implied. | Relevance Justification: Directly addresses how a feature of automated/high-risk systems (interconnectedness leading to complexity) causally affects human operator performance by creating opaqueness, which aligns with the research focus on opacity/lack of explainability.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: automation technology | Evidence Type: direct | Causal Strength: 8 | Performance Effect: change in the nature of work","The implementation of automation technology in many organizational processes in high-risk industries has led to a change in the nature of work [ 5,6].","Causal Strength Justification: Direct causation is explicitly stated with 'led to', indicating a strong causal link. | Relevance Justification: The excerpt directly links automation technology to a change in work nature, which is relevant to human performance, but it does not specify novel AI characteristics like non-deterministic, opacity, or adaptive features as requested in the task.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: highly automated environments | Evidence Type: direct | Causal Strength: 8 | Performance Effect: operators are required to handle tasks that are increasingly complex and demand predominately cognitive skills","Due to highly automated environments, operators in high-risk industries are required to handle tasks that are increasingly complex and demand predominately cognitive skills [ 6].","Causal Strength Justification: Direct causation is explicitly stated with 'Due to', indicating a strong causal link. | Relevance Justification: The excerpt directly links highly automated environments to increased task complexity and cognitive demands on operators, which is relevant to human performance, but it does not specify novel AI characteristics like non-deterministic, opacity, or adaptive features as requested in the task.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: behavior-based methods (drills, practice, part-whole training) | Evidence Type: direct | Causal Strength: 8 | Performance Effect: proceduralized skills and increased long-term retention of task components, but no skill transfer to novel situations","While well-acquired task components resulted in proceduralized skills, which increased the long-term retention of task components [23,61,70], these proceduralized skills did not necessarily result in skill transfer to novel situations [60].","Causal Strength Justification: Direct causal language: 'resulted in' and 'increased' explicitly indicate causation. The text directly states the cause (well-acquired task components) and effect (proceduralized skills and increased retention). | Relevance Justification: The text discusses causal relationships between training methods (behavior-based methods like drills and practice) and human performance outcomes (proceduralized skills, retention, skill transfer). However, it does not explicitly mention AI features (non-deterministic, opacity, adaptive) or directly link them to human performance. The causal relationships are about training methods and skill acquisition, not AI characteristics.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: provision of feedback | Evidence Type: direct | Causal Strength: 7 | Performance Effect: increased motivation and improved accuracy of performance","The provision of feedback seemed to have a positive influence by increasing the individual’s motivation and improving the accuracy of performance.","Causal Strength Justification: Direct causal language ('by increasing', 'improving') explicitly connects the cause (feedback provision) to the effects (increased motivation, improved performance accuracy). | Relevance Justification: The text discusses feedback as a facilitating factor for skill acquisition and retention, which relates to human performance, but does not explicitly mention AI features like non-deterministic, opacity, or adaptive behavior.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: cognitive-based training approaches | Evidence Type: direct | Causal Strength: 8 | Performance Effect: increased mental model forming, higher knowledge levels, and increased skill retention","These cognitive-based approaches led to an increase in mental model forming and higher levels of knowledge, which in turn increased skill retention.","Causal Strength Justification: Direct causal language ('led to', 'which in turn increased') explicitly connects the cause (cognitive-based approaches) to the effects (mental model forming, knowledge levels, skill retention). | Relevance Justification: The text discusses training methods for handling complex tasks, which relates to human performance with systems, but does not explicitly mention AI features like non-deterministic, opacity, or adaptive behavior.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: Not explicitly mentioned in the excerpt. The text discusses causes of team skill decay, not specific AI features. | Evidence Type: direct | Causal Strength: 8 | Performance Effect: Team skill decay.","This means that team skill decay was not only caused by a loss of individual skills, but also by a loss of team interaction skills (team coordination and team situational awareness) [ 99].","Causal Strength Justification: Direct causal language ('caused by') explicitly links the causes (loss of individual skills, loss of team interaction skills) to the effect (team skill decay). | Relevance Justification: The excerpt explicitly identifies causes of team skill decay, a human performance effect. However, it does not connect these causes to any specific AI feature (non-deterministic, opacity, adaptive) as requested in the task. The causes are related to individual and team skills, not AI characteristics.","y"
"Factors Influencing Attenuating Skill Decay in High-Risk Industries: A Scoping Review","","","AI Feature: Not explicitly mentioned in the excerpt. The text discusses team dynamics, not specific AI features. | Evidence Type: direct | Causal Strength: 7 | Performance Effect: Team skill decay was more likely to occur.","Consequently, when team members were less able to coordinate and exchange information, despite the task being highly interdependent, team skill decay was more likely to occur [ 98].","Causal Strength Justification: Direct causal language ('Consequently... was more likely to occur') links the cause (less able to coordinate/exchange information) to the effect (team skill decay more likely). | Relevance Justification: The excerpt discusses causal factors for team skill decay, which is a human performance effect. However, it does not connect this to any specific AI feature (non-deterministic, opacity, adaptive) as requested in the task. The cause is about team coordination and information exchange, not AI characteristics.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Machine Learning and Deep Learning Applications","","","Artificial Intelligence is beginning to appear in civil aviation, principally via Machine Learning and Deep Learning approaches [ 1] in a wide variety of applications, including, for example, flight operations and unmanned aerial vehicles [ 2], weather prediction [ 3], and numerous improvements in air traffic management [ 4].","This excerpt explicitly mentions AI features (Machine Learning and Deep Learning) and their applications in aviation, which are data-driven and non-deterministic in nature, aligning with the research focus on novel AI characteristics.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI autonomy levels in aviation","","","This paper briefly reviews the types of AI and ‘Intelligent Agents’ along with their associated levels of AI autonomy being considered for future aviation applications.","This mentions AI autonomy as a feature being considered for future applications, highlighting a key characteristic of AI systems that differs from conventional automation by involving varying degrees of independence.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI pushing boundaries of human-automation interaction","","","Since AI will inevitably push the boundaries of traditional human-automation interaction, there is a need to revisit Human Factors to meet the challenges of future human-AI interaction design.","This directly mentions AI's impact on traditional human-automation interaction, indicating novel characteristics that differ from conventional automation, specifically the need to address new challenges in interaction design.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Machine Learning vs Generative AI in safety-critical systems","","","This would rely on Machine Learning approaches rather than Generative AI models such as ChatGPT [5] and other Large Language Models, as the latter are currently ruled out by the EU Act on AI [6] for safety-critical systems due to the problem of hallucinations [7,8].","This excerpt discusses AI features by contrasting Machine Learning approaches with Generative AI models, highlighting regulatory restrictions due to hallucinations, which relates to AI capabilities and safety considerations in high-risk industries.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Human AI Teaming with autonomy and advice-giving","","","would afford more human-machine interaction, lending more autonomy to the IA to take on tasks, as well as giving advice during challenging and time-critical flight upsets. Assistance by AI at such a level is known as Human AI Teaming (HAT: also Human Autonomy Teaming and Human Machine Teaming) [ 9].","This excerpt directly mentions AI (IA) features: lending more autonomy to take on tasks and giving advice during challenging situations, which are key AI capabilities in human-machine interaction, as specified in the research focus on novel AI characteristics.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Varying Levels of AI Autonomy","","","which is exploring six futuristic HAT use cases—two cockpit, two air traffic, and two airport—with varying levels of AI autonomy.","This directly mentions 'varying levels of AI autonomy,' which is a core AI capability distinguishing it from conventional automation, as it implies different degrees of independent decision-making and action by the AI system.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: Rapid development pace and profound implications","","","However, AI is developing at a rapid pace and could have profound implications for aviation systems and human-machine interaction. It will be hard for a traditional approach of gaining experience to keep up with AI developments.","This excerpt directly mentions AI's rapid development pace and its potential profound implications for systems and interaction, which represents a key AI capability characteristic compared to conventional automation.","y"
"Human Factors Requirements for Human-AI Teaming in Aviation","Category: AI_capability | Feature: AI-assisted automation with human oversight","","","UC4—a digital assistant for remote tower operations, to alleviate the tower controller’s workload by carrying out repetitive tasks. The tower controller monitors the situation and intervenes if there is a deviation from normal (e.g., a go-around situation, or an aircraft that fails to vacate the runway). The controller is in charge, but the AI can take certain actions unless the controller vetoes them.","This represents an AI feature as it highlights the AI's capability to autonomously perform tasks (carrying out repetitive actions) within a human-in-the-loop control system, where the AI operates under human supervision and can be overridden, indicating a level of automation and interaction typical in advanced AI systems.","y"
